date,上证综指(000001.SH),沪深300(000300.SH),创业板指(399006.SZ),中证新能源(399417.SZ),中证电子(399813.SZ),国证高端装备(399967.SZ),M2同比(%),CPI同比(%)
2014-12-26,149.692920265461,148.4010184420352,115.23469939677557,100.74683975585799,,171.2865464556515,12.3,1.4
2014-12-29,150.18657079047136,148.81514811940508,112.48286763045544,99.60086029977401,,169.2247082486019,12.3,1.4
2014-12-30,150.082227680364,148.90554518604398,109.53523735505473,98.28645427128723,,163.9739102686397,12.3,1.4
2014-12-31,153.34677799758887,152.1851197556566,110.40965399177647,98.97287074475022,,166.127699037291,12.2,1.5
2015-01-05,158.83851564459246,156.82926367088749,109.8852740766525,102.38944801867531,,166.2507731700786,12.2,1.5
2015-01-06,158.88246206125285,156.8085055069428,115.51571901938706,102.8318422712766,,172.44551022381083,12.2,1.5
2015-01-07,159.9495019169076,156.92612074705272,114.28233844935083,102.41679820486954,,170.41193817377012,12.2,1.5
2015-01-08,156.13332214524883,153.2856469785674,115.67018228766177,101.47784169100014,,169.70294014230606,12.2,1.5
2015-01-09,155.75197912948167,152.74576244908437,116.52179327428371,100.82682740501964,,167.95639277981059,12.2,1.5
2015-01-12,153.09262833230696,151.31822954394914,118.98877947011373,101.68799227007877,,164.4681915904761,12.2,1.5
2015-01-13,153.37636005152206,151.3382125067507,120.11735907571102,103.79715078936232,,167.78233005871388,12.2,1.5
2015-01-14,152.76651463197598,150.83790630229913,119.13003946727802,102.44747566432338,,168.1986056845432,12.2,1.5
2015-01-15,158.17178165979024,155.21770662771138,119.00460839172906,102.47682221447339,,169.20066832693269,12.2,1.5
2015-01-16,160.06996345383752,156.55385193141365,122.99709753091331,103.72840932381821,,171.85743043180318,12.2,1.5
2015-01-19,147.737281020505,144.49555508277857,122.28517115115271,98.73996161657568,,164.84526760025972,12.2,1.5
2015-01-20,150.4253131359964,146.26417649090558,127.59551178804551,102.08227415134567,,171.6954646677315,12.2,1.5
2015-01-21,157.56288438299845,152.83887271972432,129.22559064008107,104.28113595770903,,176.5740117325084,12.2,1.5
2015-01-22,158.49836943149833,153.64542644245552,130.83518941817835,106.47154648999289,,185.02360788748976,12.2,1.5
2015-01-23,158.89753753104574,153.82281830404938,127.32814554805954,105.11861063715952,,180.66555506981416,12.2,1.5
2015-01-26,160.38697498372747,155.38411647311042,130.51658548405368,107.47624992347271,,184.3749919795635,12.2,1.5
2015-01-27,158.95423646775103,153.96058877388157,130.80803269009897,108.12327148154164,,185.2906648963246,12.2,1.5
2015-01-28,156.71557661064563,151.82413442332353,129.88815479034932,107.57041175672042,,181.8666614195189,12.2,1.5
2015-01-29,154.65654239833654,149.94965499242454,128.38470731123635,106.95333565798826,,179.7899030617963,12.2,1.5
2015-01-30,152.1941208512236,147.90794744825314,126.07473501560011,105.56666125430216,,177.32328732668373,12.2,1.5
2015-02-02,148.30374890904324,144.44409034021854,127.29371201715225,105.14423064125873,,177.81631959920918,10.8,0.8
2015-02-03,151.9354675078589,148.03951630894005,131.35049208441393,106.89324510291922,,180.39957600764487,10.8,0.8
2015-02-04,150.47622840190064,146.50302457646026,131.86309408155873,107.46560264904188,,180.31835358190557,10.8,0.8
2015-02-05,148.6939570595628,145.0033548982807,133.10637710492773,106.10920643201848,,177.41121697612004,10.8,0.8
2015-02-06,145.8199467428215,142.6550983687184,129.85462148247228,103.74364823534737,,172.31596841102964,10.8,0.8
2015-02-09,146.73096970826117,144.09787689633578,128.19513534478168,103.17262159852854,,171.49429928761413,10.8,0.8
2015-02-10,148.93393199066836,146.7258949051197,131.10810703351757,104.97706843269458,,174.09242451592925,10.8,0.8
2015-02-11,149.69770838637007,147.8964916980264,132.99632483947897,105.723708552157,,176.89058584690247,10.8,0.8
2015-02-12,150.44256933412407,148.2733255870641,134.19392154406256,106.51886031574493,,176.6193539335215,10.8,0.8
2015-02-13,151.8842677991284,149.43414623222097,136.9455282546251,109.15459310109854,,179.4524373144071,10.8,0.8
2015-02-16,152.7630065037852,150.71129011558247,142.28235045232455,113.99005278386298,,183.34134378884565,10.8,0.8
2015-02-17,153.92651988468685,151.69489116606618,142.10815729597007,116.30057788081973,,183.18611946900006,10.8,0.8
2015-02-25,153.0702047561685,149.8174831975152,140.79075590977666,114.77994745570068,,184.59029043818532,10.8,0.8
2015-02-26,156.36575934145796,153.5886644920839,141.06404861804512,115.61702286236002,,185.4977504279705,10.8,0.8
2015-02-27,156.93199019430762,153.87066544127464,144.63913434553413,116.50740118663873,,190.02757319129535,10.8,0.8
2015-03-02,158.16372244637896,155.09470804632946,149.06087983297866,119.30597072531894,,192.11273268890378,12.5,1.4
